,conc_water,conc_co2,conc_nh3,r_1,g_1,b_1,r_4,g_4,b_4,r_23,g_23,b_23,r_145,g_145,b_145
500_200_0_8,0.0,5,2,211.5858156028369,205.25390070921983,202.56879432624115,226.6780487804878,211.0878048780488,230.87479674796748,227.62962962962965,208.3045267489712,224.9218106995885,237.65299145299144,170.08034188034188,145.8803418803419
500_200_0_9,0.0,5,2,212.41560283687943,205.622695035461,203.30070921985816,226.6780487804878,210.69756097560972,231.55772357723575,227.51851851851853,208.38683127572017,226.61316872427983,237.03076923076924,170.95897435897436,143.67521367521368
2000_200_0_0,0.0,20,2,216.81418439716316,206.3744680851064,202.8340425531915,226.48292682926828,211.06666666666663,231.4471544715447,227.73251028806587,208.6584362139918,226.32510288065845,243.1623931623932,179.5145299145299,139.46495726495726
2000_200_0_1,0.0,20,2,216.33900709219856,206.3744680851064,203.15035460992908,227.08943089430892,210.54959349593497,231.4471544715447,228.00000000000003,208.45267489711932,226.18930041152265,243.1623931623932,179.62051282051283,139.77606837606837
2000_200_0_2,0.0,20,2,215.7531914893617,206.00141843971636,203.15035460992908,227.3609756097561,210.81951219512197,231.9430894308943,227.53909465020575,208.79012345679016,225.75720164609052,243.6888888888889,180.0205128205128,139.56239316239316
2000_200_0_3,0.0,20,2,216.33900709219856,206.1163120567376,202.49787234042557,226.48292682926828,210.6569105691057,232.31544715447157,227.39917695473247,208.53497942386832,227.2181069958848,244.3504273504273,174.4205128205128,139.3111111111111
2000_200_0_4,0.0,20,2,216.0581560283688,205.5617021276596,202.58014184397163,226.9512195121951,211.00650406504064,231.7317073170732,227.10699588477368,208.37448559670784,225.75720164609052,243.1623931623932,180.04102564102564,139.2051282051282
2000_200_0_5,0.0,20,2,218.6340425531915,206.2255319148936,202.58014184397163,226.48292682926828,210.91869918699183,232.8471544715447,227.73251028806587,208.46913580246917,226.58024691358025,242.3948717948718,179.4974358974359,138.7076923076923
2000_200_0_6,0.0,20,2,216.0581560283688,205.95319148936173,202.6595744680851,226.9512195121951,210.5739837398374,232.5788617886179,228.10699588477368,208.37448559670784,225.201646090535,243.948717948718,180.0205128205128,139.2051282051282
2000_200_0_7,0.0,20,2,215.88510638297876,205.68936170212768,203.3531914893617,226.1642276422764,210.67154471544717,232.7040650406504,227.56790123456796,208.0576131687243,226.32510288065845,244.3504273504273,180.0205128205128,138.69401709401708
2000_200_0_8,0.0,20,2,216.24822695035465,205.777304964539,202.6595744680851,227.3609756097561,210.739837398374,232.7040650406504,227.2674897119342,208.06172839506172,227.2181069958848,243.12820512820517,179.7128205128205,139.3145299145299
2000_200_0_9,0.0,20,2,215.7531914893617,206.85248226950355,203.0042553191489,225.7658536585366,210.96747967479675,232.31544715447157,227.39917695473247,208.40329218107,225.201646090535,242.94529914529917,179.5145299145299,139.3111111111111
0_400_0_0,0.0,0,4,226.50070921985815,210.9276595744681,200.1035460992908,227.3837398373984,210.46178861788616,229.40325203252036,225.2962962962963,206.2962962962963,225.92592592592595,223.76752136752137,147.85811965811965,154.8153846153846
0_400_0_1,0.0,0,4,227.02978723404257,210.9276595744681,200.39148936170213,227.77073170731708,210.7089430894309,229.35934959349592,224.62962962962965,205.85185185185188,226.27572016460908,224.65470085470085,147.4102564102564,154.9025641025641
0_400_0_2,0.0,0,4,227.0893617021277,210.9276595744681,199.8553191489362,227.77073170731708,211.1235772357724,229.3430894308943,224.4814814814815,206.2962962962963,225.7078189300412,224.8068376068376,148.86324786324786,154.77094017094018
0_400_0_3,0.0,0,4,226.76595744680853,210.7531914893617,199.8553191489362,227.9040650406504,211.11544715447155,229.3430894308943,224.6337448559671,206.32098765432104,225.95061728395063,223.76752136752137,147.48888888888888,155.02393162393162
0_400_0_4,0.0,0,4,227.0893617021277,210.99290780141845,200.39148936170213,227.0341463414634,210.9365853658537,228.1560975609756,224.40740740740745,206.0576131687243,226.68724279835396,223.76752136752137,148.47692307692307,155.02393162393162
0_400_0_5,0.0,0,4,227.0326241134752,210.78865248226955,200.24397163120568,227.07642276422763,211.139837398374,229.73821138211383,225.42798353909467,206.2962962962963,225.8683127572017,225.24273504273503,146.0871794871795,154.45299145299143
0_400_0_6,0.0,0,4,226.29929078014183,210.9276595744681,199.88794326241137,227.0682926829268,211.1869918699187,229.66991869918695,224.62962962962965,206.32098765432104,226.3621399176955,224.65470085470085,148.5059829059829,154.45299145299143
0_400_0_7,0.0,0,4,226.76595744680853,210.9276595744681,199.845390070922,227.7658536585366,210.49268292682927,229.6747967479675,226.10699588477368,206.3045267489712,226.2181069958848,225.017094017094,148.0854700854701,154.782905982906
0_400_0_8,0.0,0,4,226.0581560283688,210.9276595744681,199.845390070922,227.6747967479675,211.1235772357724,229.66991869918695,225.42798353909467,206.32098765432104,225.8683127572017,224.54188034188036,148.5059829059829,154.8153846153846
0_400_0_9,0.0,0,4,227.245390070922,211.290780141844,199.92056737588652,228.2861788617886,211.139837398374,229.73821138211383,225.00000000000003,206.1522633744856,225.95061728395063,224.65470085470085,148.68205128205128,155.7863247863248
500_500_0_0,0.0,5,5,232.1049645390071,214.07659574468087,201.92198581560285,225.84227642276423,210.99024390243903,231.39837398373984,227.5884773662552,208.22222222222223,226.95884773662556,230.6871794871795,156.30769230769232,149.5145299145299
500_500_0_1,0.0,5,5,232.7063829787234,214.736170212766,200.9262411347518,226.5447154471545,210.55772357723575,232.15934959349596,227.64609053497944,207.33333333333331,226.95884773662556,229.4957264957265,156.35384615384615,149.76239316239315
500_500_0_2,0.0,5,5,232.89787234042555,214.20425531914896,201.290780141844,225.9235772357724,210.82276422764227,232.15934959349596,227.5144032921811,208.3456790123457,227.42798353909467,229.71452991452992,156.90940170940172,149.2905982905983
500_500_0_3,0.0,5,5,231.98439716312055,214.54468085106384,201.1914893617021,225.95934959349597,210.55772357723575,231.23252032520324,227.5884773662552,208.44855967078192,227.62139917695475,229.6905982905983,156.57435897435897,149.22393162393163
500_500_0_4,0.0,5,5,232.4198581560284,214.3787234042553,202.11914893617023,225.9235772357724,210.99024390243903,231.39837398373984,227.7078189300412,208.23045267489715,226.57201646090536,229.71452991452992,156.0752136752137,150.07350427350428
500_500_0_5,0.0,5,5,232.56737588652484,214.3787234042553,201.2113475177305,226.4048780487805,210.89430894308944,232.49918699186992,228.0246913580247,208.37448559670784,226.8600823045268,229.44273504273505,156.41367521367522,149.35726495726496
500_500_0_6,0.0,5,5,232.35602836879437,214.2765957446809,200.83971631205677,226.4048780487805,210.879674796748,231.6081300813008,227.46090534979425,208.4814814814815,227.95061728395063,230.6871794871795,156.90940170940172,149.02735042735043
500_500_0_7,0.0,5,5,231.47375886524824,214.52056737588651,201.2113475177305,225.49918699186992,210.89430894308944,232.1869918699187,227.40740740740745,208.1687242798354,227.03703703703707,230.36410256410252,156.97948717948717,149.35726495726496
500_500_0_8,0.0,5,5,232.31347517730495,214.736170212766,201.7531914893617,225.84227642276423,210.879674796748,231.7788617886179,227.5884773662552,208.44855967078192,227.52674897119343,230.4034188034188,156.90940170940172,149.02735042735043
500_500_0_9,0.0,5,5,232.56737588652484,213.93475177304967,201.7531914893617,225.9235772357724,210.89430894308944,231.74471544715448,227.2181069958848,208.3456790123457,228.4773662551441,230.4854700854701,156.57435897435897,149.46324786324786
2000_500_0_0,0.0,20,5,235.2765957446809,210.4099290780142,199.39574468085107,226.0276422764228,209.88943089430893,231.8959349593496,228.77366255144037,207.0905349794239,227.18930041152265,239.9777777777778,167.8102564102564,140.2017094017094
2000_500_0_1,0.0,20,5,234.76453900709225,210.2354609929078,199.7858156028369,226.73658536585367,209.94959349593492,232.1886178861789,228.91769547325103,206.87654320987656,226.23045267489715,239.2,167.5897435897436,140.1076923076923
2000_500_0_2,0.0,20,5,234.76453900709225,210.1460992907801,199.95460992907803,226.0276422764228,209.84552845528452,231.98861788617887,228.7283950617284,206.9135802469136,227.0658436213992,239.9777777777778,167.5897435897436,140.53504273504274
2000_500_0_3,0.0,20,5,234.8709219858156,210.6198581560284,199.39574468085107,226.8357723577236,209.8211382113821,232.10081300813007,228.3456790123457,206.6748971193416,227.25925925925927,239.31965811965813,167.44273504273505,140.03760683760683
2000_500_0_4,0.0,20,5,235.2765957446809,210.27234042553192,199.95460992907803,227.19674796747967,209.84552845528452,231.9040650406504,228.3456790123457,206.6748971193416,226.4773662551441,239.4854700854701,167.8102564102564,140.1076923076923
2000_500_0_5,0.0,20,5,234.66666666666669,210.61418439716317,199.22269503546104,226.26829268292684,209.8211382113821,231.46178861788616,229.0411522633745,207.06172839506172,226.26337448559676,239.53333333333333,167.44273504273505,140.53504273504274
2000_500_0_6,0.0,20,5,234.66666666666669,210.2354609929078,199.6368794326241,225.86341463414635,209.99024390243903,232.78536585365853,229.27572016460908,207.0905349794239,226.26337448559676,239.53333333333333,167.73846153846154,140.53504273504274
2000_500_0_7,0.0,20,5,235.2070921985816,210.61418439716317,199.39574468085107,225.86341463414635,209.99024390243903,231.930081300813,229.27572016460908,207.0905349794239,225.81481481481484,239.3846153846154,167.2034188034188,140.23076923076923
2000_500_0_8,0.0,20,5,234.8709219858156,210.3418439716312,199.4241134751773,226.0276422764228,209.66341463414636,231.9040650406504,228.77366255144037,206.7366255144033,226.35802469135805,239.64957264957263,167.4974358974359,140.1076923076923
2000_500_0_9,0.0,20,5,235.2765957446809,210.2978723404256,199.95460992907803,226.73658536585367,209.84552845528452,232.1886178861789,228.93415637860085,206.7942386831276,225.8888888888889,238.99487179487176,167.86153846153846,140.31794871794872
1000_0_1900_0,19.0,10,0,195.3631205673759,182.1787234042553,200.690780141844,224.20650406504063,211.4162601626016,232.66178861788617,161.97942386831278,198.93004115226336,234.7860082304527,253.44102564102565,235.7213675213675,119.35384615384616
1000_0_1900_1,19.0,10,0,195.3631205673759,182.1404255319149,200.94609929078013,223.44552845528452,211.25528455284552,233.0130081300813,160.19341563786008,198.49794238683128,234.30452674897123,253.5059829059829,235.7213675213675,119.35384615384616
1000_0_1900_2,19.0,10,0,194.4340425531915,182.07375886524824,200.96879432624115,224.20650406504063,210.99349593495936,232.00325203252032,161.27983539094652,198.99588477366257,234.60493827160496,253.44102564102565,235.83418803418803,119.64273504273504
1000_0_1900_3,19.0,10,0,195.90780141843973,182.05957446808512,200.7872340425532,224.73821138211383,211.29756097560977,231.6569105691057,162.23868312757202,199.5514403292181,234.62139917695475,253.4957264957265,235.6854700854701,120.208547008547
1000_0_1900_4,19.0,10,0,195.54751773049648,181.64113475177305,200.4184397163121,223.44552845528452,211.25528455284552,231.6569105691057,161.31687242798355,199.42798353909467,234.30452674897123,253.6871794871795,235.64273504273504,120.208547008547
1000_0_1900_5,19.0,10,0,193.8255319148936,182.07375886524824,200.81702127659577,223.7219512195122,211.5089430894309,232.6878048780488,161.97942386831278,199.18106995884776,235.18106995884776,253.44102564102565,235.7076923076923,119.6068376068376
1000_0_1900_6,19.0,10,0,193.71063829787235,182.07659574468087,200.690780141844,223.2894308943089,211.4162601626016,232.5804878048781,161.50205761316874,199.3539094650206,233.5925925925926,253.4940170940171,236.1863247863248,119.8991452991453
1000_0_1900_7,19.0,10,0,193.85106382978725,181.98865248226952,200.35886524822695,224.21138211382117,210.99512195121952,232.42439024390245,162.23868312757202,199.5514403292181,235.20576131687244,253.52307692307693,235.7213675213675,119.7982905982906
1000_0_1900_8,19.0,10,0,194.3021276595745,181.845390070922,200.7872340425532,223.02439024390245,210.75447154471544,231.6569105691057,162.23868312757202,198.9917695473251,235.18106995884776,253.6871794871795,236.1555555555556,119.35384615384616
1000_0_1900_9,19.0,10,0,195.3631205673759,181.71773049645392,200.690780141844,224.1756097560976,210.99349593495936,232.69430894308945,161.97942386831278,199.8477366255144,235.6008230452675,253.61880341880345,235.6102564102564,119.8991452991453
0_100_1900_0,19.0,0,1,225.1205673758865,202.31205673758868,200.7872340425532,227.11056910569107,210.29430894308945,231.52520325203253,225.2139917695473,204.5925925925926,226.29218106995887,242.02564102564105,183.8803418803419,141.62735042735042
0_100_1900_1,19.0,0,1,224.8567375886525,202.13049645390072,199.8,226.77723577235773,210.64878048780488,232.46666666666667,222.51028806584364,203.93415637860085,226.4650205761317,239.5059829059829,178.33504273504275,141.84273504273503
0_100_1900_2,19.0,0,1,225.0184397163121,202.31205673758868,200.73191489361704,226.80325203252036,210.33008130081305,232.59837398373983,223.77366255144037,204.201646090535,228.57201646090536,239.97435897435895,179.22735042735042,142.0222222222222
0_100_1900_3,19.0,0,1,224.79007092198583,202.04822695035463,200.7872340425532,226.10731707317072,210.36747967479675,231.66341463414636,223.90946502057616,205.25514403292183,227.23868312757205,239.33846153846156,178.33504273504275,139.63076923076923
0_100_1900_4,19.0,0,1,225.16879432624117,201.5276595744681,200.49929078014185,227.2959349593496,210.75284552845528,231.40650406504065,223.1769547325103,204.50205761316877,227.19753086419755,240.2905982905983,177.52307692307693,142.17094017094018
0_100_1900_5,19.0,0,1,224.79007092198583,202.13049645390072,200.7872340425532,227.11056910569107,210.5918699186992,232.21138211382117,223.1934156378601,204.201646090535,227.9670781893004,240.35555555555555,178.9777777777778,141.62735042735042
