batch_id,bo_code,NI_D,CC_E,ec,peg,CaCl2,sensitivity,delta_t_raw,reversibility,first_delta_e,r_square,weighted
0,CMS-20230329-102753,10.200000000000001,11.5,22.0,20.5,27.5,2.9273394538008954,-145.375,0.7952084300873299,1.4002761956990009,0.7652469835251883,0.037485319166698054
0,CMS-20230329-102753,23.400000000000002,15.5,8.0,1.0,36.5,3.6316603278693993,-87.64999999999999,0.8779559379663981,1.187651966953808,0.564105971158529,0.020166001439569668
0,CMS-20230329-102753,16.5,7.0,26.0,18.5,10.0,10.467975201657033,-170.325,0.960200136056875,1.9607108264077187,0.8801758154172301,0.15239129457237152
0,CMS-20230329-102753,16.1,10.0,3.0,11.5,21.5,4.249826103976272,-146.95,0.9016748369152023,1.7030505942321847,0.7172275225323306,0.053967470112633045
0,CMS-20230329-102753,14.9,5.0,16.0,33.5,25.5,4.231955528216325,-110.27499999999999,0.873283601706004,1.6514348006515696,0.8413930208252524,0.12255074978863169
0,CMS-20230329-102753,22.200000000000003,29.5,17.0,16.0,13.0,3.8734637526157742,-160.72500000000002,0.8951769396139698,1.6306890338232545,0.8597224211792855,0.08594136002660893
0,CMS-20230329-102753,8.0,18.5,11.5,43.0,10.5,8.33715229072934,-150.4,0.942318818284751,1.501010182727719,0.9048803494041469,0.16208965572699469
0,CMS-20230329-102753,9.4,0.5,15.0,16.0,57.5,0.0895409422841381,-14.275000000000002,0.10762332607355249,1.0158861653117706,0.41546643472390266,2.3863768608230957e-05
0,CMS-20230329-102753,23.5,3.5,43.0,10.0,11.5,5.935835469967436,-132.975,0.9113650766443582,1.33162886129304,0.8502366798459648,0.12316819193251761
0,CMS-20230329-102753,10.8,3.0,31.0,20.0,7.0,9.77580018421034,-174.675,0.9671939498311942,1.4715401431605575,0.9491324432085961,0.14554401194331362
0,CMS-20230329-102753,21.200000000000003,12.0,31.5,10.0,3.0,12.509868809442462,-168.64999999999998,0.9765321071977675,2.306087624458722,0.8890751689241123,0.17454837475432347
0,CMS-20230329-102753,20.900000000000002,8.0,42.0,4.5,8.0,8.535340185499983,-127.65,0.9621524386692076,1.516927794804274,0.7479950710170522,0.09802036960702325
0,CMS-20230329-102753,18.0,7.5,36.5,6.0,13.0,10.205428164196709,-147.1,0.9655019440183769,2.2151202246192385,0.7628470629579072,0.11246983906297894
0,CMS-20230329-102753,15.700000000000001,9.0,4.5,6.5,16.5,6.861612900617306,-139.175,0.9404590588552294,1.6094617582169148,0.6944234702718302,0.07060531044753465
0,CMS-20230329-102753,33.2,3.5,36.0,3.0,22.5,4.56826508012984,-117.75,0.8425748996009613,2.148021070104286,0.664650425042913,0.05499301552534978
0,CMS-20230329-102753,28.3,32.0,7.0,28.5,3.0,5.097912305441534,-177.75,0.8910208502831977,2.2746798055846953,0.8513897785603366,0.09992199317583855
0,CMS-20230329-102753,27.700000000000003,15.5,13.0,32.5,3.5,6.912424651804095,-153.72500000000002,0.9426904289812792,1.3615144488978066,0.912644541789819,0.1712025044173103
0,CMS-20230329-102753,39.1,8.5,34.5,5.0,1.0,10.376941511906447,-133.6,0.9605491227288533,3.0533361073166914,0.8348903573797848,0.21604938218225672
0,CMS-20230329-102753,11.200000000000001,14.5,30.0,14.0,23.5,4.505225894377374,-158.0,0.9136421456871688,2.0330947329151385,0.7336145593934482,0.05712654114157324
0,CMS-20230329-102753,29.700000000000003,7.5,6.5,0.5,2.5,5.765488054977469,-100.875,0.9293273644918563,1.35690972900697,0.7463473468247472,0.08440474801937625
0,CMS-20230329-102753,4.9,45.5,6.0,2.5,41.0,2.062137044763956,-106.825,0.7987775199205887,0.9556388321211373,0.7384031216611607,0.023561875481497865
0,CMS-20230329-102753,14.200000000000001,18.0,11.5,40.5,6.0,6.384481824103366,-153.275,0.8976631147976608,1.8536381160022575,0.897002287065296,0.1752537346229115
0,CMS-20230329-102753,14.3,23.0,27.5,15.5,11.5,2.264557900116573,-73.425,0.7504261044022448,1.2842725189976625,0.8018620668964992,0.04792867437354133
0,CMS-20230329-102753,0.2,11.0,24.5,26.0,36.0,2.8570086497078373,-137.27499999999998,0.7226365722935294,1.4587608925641942,0.7785288460441386,0.03923160216497471
0,CMS-20230329-102753,45.400000000000006,1.5,10.5,9.5,33.0,1.5783616774399039,-66.7,0.6991822349275922,1.350996346439626,0.746976842628655,0.02161516359542754
0,CMS-20230329-102753,6.300000000000001,15.0,40.0,1.5,34.5,1.9745801041802291,-85.1,0.848205816521194,0.7593446400704144,0.48039289790304524,0.00507308007060773
0,CMS-20230329-102753,0.4,5.0,2.0,13.0,4.5,6.272432079697484,-118.825,0.9671593817617221,0.8965772503080721,0.9429966368649807,0.19354291122926293
0,CMS-20230329-102753,46.2,7.5,11.0,19.0,3.0,8.900811518122902,-158.52499999999998,0.9532443511171935,1.6989908282191708,0.9568494524861284,0.18198938868951284
0,CMS-20230329-102753,31.200000000000003,21.5,24.5,10.0,2.5,8.72995314411947,-181.675,0.9594456337011571,3.207881965088524,0.8355721481682412,0.13565843336529268
0,CMS-20230329-102753,15.100000000000001,3.5,2.0,28.5,6.5,9.272749784624095,-180.1,0.9584825979478719,1.5442893807958633,0.9590897405423121,0.13534382588725066
0,CMS-20230329-102753,9.0,1.0,25.0,23.5,25.5,2.8502523541547324,-137.97500000000002,0.806990082139483,1.199555308581702,0.9800508959484713,0.08258988522844057
0,CMS-20230329-102753,58.6,12.0,0.0,0.5,8.5,3.835741256599941,-93.30000000000001,0.8729883747075322,1.059873022407535,0.5198534221376272,0.01518316552918057
